Keyword,产品系列/类型,原类型,备注
spirax sarco st17,疏水阀,,ST17 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco stgs14,疏水阀,,STGS14 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco sv5601,安全阀,,SV5601 -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco sv606,安全阀,,SV606 -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco sv80,安全阀,,SV80 -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco sx95,过程控制器,,SX95 -> 过程控制器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco td43l,疏水阀,,TD43L -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco th25,疏水阀,,TH25 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco ti-2-314 ft-200,疏水阀,,FT-200 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco type pn933oe,执行器,,PN933OE -> 执行器 (batch-34; 本地资料库/官网型号语义确认)
st14 spirax sarco,疏水阀,,ST14 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
sts13 spirax sarco,疏水阀,,STS13 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
sts17 spirax sarco,疏水阀,,STS17 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
sv56 spirax sarco,安全阀,,SV56 -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
sv5708 spirax sarco,安全阀,,SV5708 -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
sv604 spirax sarco,安全阀,,SV604 -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
sv69l spirax sarco,安全阀,,SV69L -> 安全阀 (batch-34; 本地资料库/官网型号语义确认)
sx2000 spirax sarco,过程控制器,,SX2000 -> 过程控制器 (batch-34; 本地资料库/官网型号语义确认)
sx40 spirax sarco,过程控制器,,SX40 -> 过程控制器 (batch-34; 本地资料库/官网型号语义确认)
tanque fv8 spirax sarco,闪蒸罐,,FV8 -> 闪蒸罐 (batch-34; 本地资料库/官网型号语义确认)
tf14 spirax sarco,疏水阀,,TF14 -> 疏水阀 (batch-34; 本地资料库/官网型号语义确认)
transmisor temperatura pt100 spirax-sarco,温度传感器,,PT100 -> 温度传感器 (batch-34; 本地资料库/官网型号语义确认)
spirax sarco vent head,排空帽,category,vent head -> 排空帽 (batch-35; 本地资料库 VHT 排空帽/vent head 语义确认)
flujometro spirax sarco,流量计,,flujometro -> 流量计 (batch-35; 西语关键词语义确认)
mpc2 spirax sarco,过滤调节器,,MPC2 -> 过滤调节器 (batch-35; 官网 compressed air filter regulator)
spirax sarco bdv1,排污阀,,BDV1 -> 排污阀 (batch-35; 官网 blowdown/depressurisation valve)
spirax sarco csm-500,洁净蒸汽发生器,,CSM-500 -> 洁净蒸汽发生器 (batch-35; 官网 CSM clean steam generator)
spirax sarco df3,消音器,,DF3 -> 消音器 (batch-35; 官网 trap diffuser + 本地 DF 消音器)
spirax sarco in25,喷射器,,IN25 -> 喷射器 (batch-35; 官网 Steam Injectors IN15 IN25 IN40M)
spirax sarco lt2010 pdf,变送器,,LT2010 -> 变送器 (batch-35; 官网 Level Transmitter)
spirax sarco sp2,阀门定位器,,SP2 -> 阀门定位器 (batch-35; 官网 electropneumatic smart valve positioner)
spirax sarco staps isa100 wireless,监测器,,ISA100/STAPS -> 监测器 (batch-35; 官网 STAPS steam trap monitoring system)
spirax sarco staps wireless,监测器,,STAPS wireless -> 监测器 (batch-35; 官网/本地疏水阀无线监测系统)
spirax sarco straps isa100 wireless,监测器,,ISA100/STAPS typo -> 监测器 (batch-35; 官网 STAPS ISA100 wireless)
spirax sarco vht8,排空帽,,VHT8 -> 排空帽 (batch-35; 本地资料库 VHT 排空帽)
staps spirax sarco,监测器,,STAPS -> 监测器 (batch-35; 官网/本地疏水阀无线监测系统)
visor de flujo1 spirax sarco,观视镜,,FLUJO1/visor de flujo -> 观视镜 (batch-35; 西语关键词语义确认)
clean steam generator spirax sarco,洁净蒸汽发生器,category,clean steam generator -> 洁净蒸汽发生器 (batch-36; 人工语义分类)
spirax sarco clean steam generator,洁净蒸汽发生器,category,clean steam generator -> 洁净蒸汽发生器 (batch-36; 人工语义分类)
spirax sarco diffuser,消音器,category,diffuser -> 消音器 (batch-36; 人工语义分类)
spirax sarco double block and bleed,双切断排放阀,category,double block and bleed -> 双切断排放阀 (batch-36; 人工语义分类)
spirax sarco double block and bleed valve,双切断排放阀,category,double block and bleed valve -> 双切断排放阀 (batch-36; 人工语义分类)
spirax sarco gate valve,闸阀,category,gate valve -> 闸阀 (batch-36; 人工语义分类)
spirax sarco mixing valve,混合阀,category,mixing valve -> 混合阀 (batch-36; 人工语义分类)
spirax sarco steam water mixing valve,混合阀,category,steam water mixing valve -> 混合阀 (batch-36; 人工语义分类)
spirax sarco 3 way valve,三通阀,category,3 way valve -> 三通阀 (batch-36; 人工语义分类)
spirax sarco butterfly valve,蝶阀,category,butterfly valve -> 蝶阀 (batch-36; 人工语义分类)
spirax sarco steam humidifier,空气加湿器,category,steam humidifier -> 空气加湿器 (batch-36; 人工语义分类)
3 way valve spirax sarco,三通阀,,3 way valve -> 三通阀 (batch-36; 人工语义分类)
bellows sealed valve spirax sarco,截止阀,,bellows sealed valve -> 截止阀 (batch-36; 人工语义分类)
gate valve spirax sarco,闸阀,,gate valve -> 闸阀 (batch-36; 人工语义分类)
instalation instructions for spirax sarco d series noise diffuser,消音器,,noise diffuser -> 消音器 (batch-36; 人工语义分类)
mixing valve spirax sarco,混合阀,,mixing valve -> 混合阀 (batch-36; 人工语义分类)
mkii valve spirax sarco,混合阀,,MKII valve -> 蒸汽/水混合阀 (batch-36; 人工语义分类)
modulating valve spirax sarco bim,调节阀,,modulating valve -> 调节阀 (batch-36; 人工语义分类)
piston operated valve spirax sarco,活塞阀,,piston operated valve -> 活塞阀 (batch-36; 人工语义分类)
piston valve spirax sarco,活塞阀,,piston valve -> 活塞阀 (batch-36; 人工语义分类)
regulation valve steam spirax sarco,调节阀,,regulation valve -> 调节阀 (batch-36; 人工语义分类)
regulation valve steam spirax sarco dn 250,调节阀,,regulation valve -> 调节阀 (batch-36; 人工语义分类)
regulation valve steam spirax sarco dn 65,调节阀,,regulation valve -> 调节阀 (batch-36; 人工语义分类)
spirax sarco 3 port valve,三通阀,,3 port valve -> 三通阀 (batch-36; 人工语义分类)
spirax sarco air eliminator valve,排空气阀,,air eliminator valve -> 排空气阀 (batch-36; 人工语义分类)
spirax sarco air release valve,排空气阀,,air release valve -> 排空气阀 (batch-36; 人工语义分类)
spirax sarco air valve,排空气阀,,air valve -> 排空气阀 (batch-36; 人工语义分类)
spirax sarco angle seat valve,角座阀,,angle seat valve -> 角座阀 (batch-36; 人工语义分类)
spirax sarco commercial steam humidifier,空气加湿器,,commercial steam humidifier -> 空气加湿器 (batch-36; 人工语义分类)
spirax sarco compact clean steam generator,洁净蒸汽发生器,,compact clean steam generator -> 洁净蒸汽发生器 (batch-36; 人工语义分类)
spirax sarco compact clean steam generator price,洁净蒸汽发生器,,compact clean steam generator -> 洁净蒸汽发生器 (batch-36; 人工语义分类)
spirax sarco diffuser installation,消音器,,diffuser installation -> 消音器 (batch-36; 人工语义分类)
spirax sarco diffuser installation site spiraxsarco.com,消音器,,diffuser installation -> 消音器 (batch-36; 人工语义分类)
spirax sarco electric steam generator,电蒸汽发生器,,electric steam generator -> 电蒸汽发生器 (batch-36; 人工语义分类)
spirax sarco gate valve pn25,闸阀,,gate valve -> 闸阀 (batch-36; 人工语义分类)
spirax sarco level probe,液位感应器,,level probe -> 液位感应器 (batch-36; 人工语义分类)
spirax sarco modulating steam valve,调节阀,,modulating steam valve -> 调节阀 (batch-36; 人工语义分类)
spirax sarco needle valve,针阀,,needle valve -> 针阀 (batch-36; 人工语义分类)
spirax sarco piston valve,活塞阀,,piston valve -> 活塞阀 (batch-36; 人工语义分类)
spirax sarco pure steam generator,洁净蒸汽发生器,,pure steam generator -> 洁净蒸汽发生器 (batch-36; 人工语义分类)
spirax sarco smart dp transmitter,变送器,,smart DP transmitter -> 变送器 (batch-36; 人工语义分类)
spirax sarco spirax sarco needle valve,针阀,,needle valve -> 针阀 (batch-36; 人工语义分类)
spirax sarco steam/water mixing valve,混合阀,,steam/water mixing valve -> 混合阀 (batch-36; 人工语义分类)
spirax sarco wfi generator,洁净蒸汽发生器,,WFI generator -> 洁净蒸汽发生器 (batch-36; 人工语义分类)
steam diffuser installation spirax sarco,消音器,,steam diffuser -> 消音器 (batch-36; 人工语义分类)
transmitter differentielle spirax sarco,变送器,,differential transmitter -> 变送器 (batch-36; 人工语义分类)
transmitter spirax sarco,变送器,,transmitter -> 变送器 (batch-36; 人工语义分类)
mk ii spirax sarco steam water mixing valve,混合阀,,纠正此前 II token 误归类：steam water mixing valve -> 混合阀 (batch-36)
spirax sarco traps,疏水阀,category,
odwadniacz spirax sarco,疏水阀,,
spirax sarco kondenstop,疏水阀,,
spirax sarco odwadniacz,疏水阀,,
spirax sarco purgadores,疏水阀,,
spirax sarco water trap,疏水阀,category,斯派莎克 水封
how to fit spirax sarco td thermo traps,疏水阀,,
how to fit spirax sarco thermo traps,疏水阀,,
kondenstop spirax sarco,疏水阀,,
sft 125 spirax sarco trap,疏水阀,,
spirax sarco kondenstop tipi,疏水阀,,
spirax sarco odwadniacz po angielsku,疏水阀,,
spirax sarco pumpp trap,疏水阀,,
spirax sarco termodinamik kondenstop,疏水阀,,
sprzedam spirax sarco odwadniacz,疏水阀,,
trap location spirax sarco,疏水阀,,
trap spirax sarco,疏水阀,,
spirax sarco universal connector,管道连接器,category,
rompedor de vacio spirax sarco,破真空器,,
vakuumbrecher spirax sarco,破真空器,,
disco rompedor de vacio spirax sarco,破真空器,,
spirax sarco vakuumbrecher,破真空器,,
spirax sarco air eliminator,排空气阀,category,
spirax sarco steam air eliminator,排空气阀,,
spirax sarco condensate recovery unit,冷凝水回收装置,category,
spirax sarco condensate receiver,冷凝水回收装置,category,
spirax sarco condensate recovery,冷凝水回收装置,category,
condensate recovery unit spirax sarco,冷凝水回收装置,,
spirax sarco condensate receiver tank,冷凝水回收装置,,
spirax sarco condensate recovery system,冷凝水回收装置,,
spirax sarco ib 10 condensate recovery,冷凝水回收装置,,
atuador spirax sarco,执行器,,
atuador 3120 spirax sarco,执行器,,
brv spirax sarco,减压阀,,
drv spirax sarco,减压阀,,
spirax sarco brv,减压阀,category,
spirax sarco druckminderer,减压阀,,
spirax sarco drv,减压阀,,
brv 2sp spirax sarco,减压阀,,
brv 5s spirax sarco,减压阀,,
drv 4b spirax sarco,减压阀,,
spirax sarco brv instalacion,减压阀,,
dfu spirax sarco,分布器,,
distribuidor de fluxo universal spirax sarco,分布器,,
dynafluid spirax sarco,分布器,,
dfu quatro vias spirax sarco,分布器,,
dynafluid 2000 spirax sarco,分布器,,
spirax sarco dfu,分布器,,
spirax sarco dfu valcula de corte,分布器,,
filtre spirax sarco,过滤器,,
filtre y spirax sarco,过滤器,,
filtre spirax sarco fig 7,过滤器,,
filtre t spirax sarco fig 7,过滤器,,
filtre tamis spirax sarco fig 7,过滤器,,
filtre y spirax sarco 16l,过滤器,,
mirilla spirax sarco,观视镜,,
mirilla de spirax sarco,观视镜,,
mirilla spirax sarco 1 2,观视镜,,
mirilla spirax sarco acero al carbon 1 2,观视镜,,
spirax sarco boiler controls,锅炉控制,category,
spirax sarco drip leg,集水腿,category,斯派莎克 集水腿
spirax sarco drip pan elbow,排水盘弯头,category,斯派莎克 排水盘弯头
drip pan elbow spirax sarco,排水盘弯头,category,排水盘弯头 斯派莎克
spirax sarco dpe 2-1 2 in drip pan elbow,排水盘弯头,,
spirax sarco orifice plate,孔板,category,斯派莎克 孔板
spirax sarco pilot valve,先导阀,category,斯派莎克 先导阀
spirax sarco regelventil,调节阀,,
spirax sarco zawory regulacyjne,调节阀,,
spirax sarco sicherheitsventil,安全阀,,
psv spirax sarco,安全阀,,
psv calc spirax sarco,安全阀,,
spirax sarco products psv,安全阀,,
spirax sarco psv,安全阀,,
spirax sarco steam accumulator,蒸汽蓄热器,category,斯派莎克 蒸汽蓄热器
steam accumulator spirax sarco,蒸汽蓄热器,,
spirax sarco steam generator,蒸汽发生器,category,斯派莎克 蒸汽发生器
turflow spirax sarco,换热器,category,Turflow 斯派莎克
spirax sarco scambiatori,换热器,,
generador de vapor limpio spirax sarco,洁净蒸汽发生器,,
spirax sarco direct steam injection,喷射加热系统,category,斯派莎克 直接蒸汽喷射
spirax sarco steam water mixing station,喷射加热系统,category,斯派莎克 蒸汽水混合站
direct steam injection spirax sarco,喷射加热系统,,
spirax sarco valves,阀门通用,category,
spirax sarco valve,阀门通用,category,斯派莎克 阀门
spirax sarco steam valves,阀门通用,category,斯派莎克 蒸汽阀门
spirax sarco 25 main valve,阀门通用,category,
valve spirax sarco,阀门通用,category,阀门 斯派莎克
spirax sarco steam valve,阀门通用,category,斯派莎克 蒸汽阀
spirax sarco valves steam,阀门通用,category,斯派莎克 蒸汽阀门
spirax sarco venttiilit,阀门通用,,
condensate valve spirax sarco,阀门通用,,
condesated valve spirax sarco,阀门通用,,
cost of spirax sarco valve srv2,阀门通用,,
seat configuration on a js1020 spirax sarco valve,阀门通用,,
spirax sarco 25 series main valve,阀门通用,,
spirax sarco 3 valve,阀门通用,,
spirax sarco automatic drain valve,阀门通用,,
spirax sarco direct acting valves,阀门通用,,
spirax sarco isolation valves,阀门通用,,
spirax sarco modelo valve,阀门通用,,
spirax sarco steam valve specification,阀门通用,,
spirax sarco throttle valve,阀门通用,,
spirax sarco throttle valve comparison,阀门通用,,
spirax sarco valve dimensions,阀门通用,,
steam valve spirax sarco,阀门通用,,
valve cryogenic spirax sarco,阀门通用,,
spirax sarco gasket,垫片与膨胀接头,category,
fabricante junta spirax sarco,垫片与膨胀接头,,
gasket spirax sarco,垫片与膨胀接头,,
junta elastica spirax sarco,垫片与膨胀接头,,
juntas de expansion spirax sarco,垫片与膨胀接头,,
juntas de teflon spirax sarco,垫片与膨胀接头,,
juntas spirax sarco,垫片与膨胀接头,,
seleccion de juntas de expansion spirax sarco,垫片与膨胀接头,,
spirax sarco pumps,泵通用,category,
spirax sarco pump,泵通用,category,斯派莎克 泵
spirax sarco steam pump,泵通用,category,斯派莎克 蒸汽泵
69956 spirax sarco pump,泵通用,,
bomba centrifuga spirax sarco,泵通用,,
bomba de vapor spirax sarco,泵通用,,
bomba ptc spirax sarco,机械泵,,修正：PTC 属 Pivotrol Pressure Powered Pump，归入机械泵 (batch-38)
bomba spirax sarco,泵通用,,
feed pump spirax sarco,泵通用,,
spirax sarco peristaltic pump,泵通用,,
vacuum pump spirax sarco,泵通用,,
calderas spirax sarco,锅炉及附件,,
spirax sarco boiler,锅炉及附件,category,
spirax sarco calderas,锅炉及附件,,
accesorios calderas spirax sarco,锅炉及附件,,
accesorios de calderas spirax sarco fenercom 2017,锅炉及附件,,
boiler p&id spirax sarco,锅炉及附件,,
boiler steam take off spirax sarco,锅炉及附件,,
calderas de vapor spirax sarco,锅炉及附件,,
calderas de vapor-spirax-sarco parte 1,锅炉及附件,,
calderas y accesorios spirax sarco,锅炉及附件,,
equipo de sala de calderas spirax sarco,锅炉及附件,,
fire tube boiler spirax sarco,锅炉及附件,,
firetube vs watertube boiler spirax sarco,锅炉及附件,,
spirax sarco agua para calderas caracteristicas,锅炉及附件,,
spirax sarco boiler automation,锅炉及附件,,
spirax sarco boiler chemicals,锅炉及附件,,
spirax sarco boiler efficiency,锅炉及附件,,
spirax sarco boiler feed pump,锅炉及附件,,
spirax sarco boiler feed tank,锅炉及附件,,
spirax sarco boiler feed water,锅炉及附件,,
spirax sarco boiler feed water tank,锅炉及附件,,
spirax sarco boiler fluxogram,锅炉及附件,,
spirax sarco boiler instrumentation,锅炉及附件,,
spirax sarco boiler level controls,锅炉及附件,,
spirax sarco boiler manifold,锅炉及附件,,
spirax sarco boiler solutions,锅炉及附件,,
spirax sarco boiler video,锅炉及附件,,
spirax sarco boiler water treatment,锅炉及附件,,
spirax sarco calderas y accesorios,锅炉及附件,,
spirax sarco calderas y accesorios 1999,锅炉及附件,,
spirax sarco calderas y accesoris,锅炉及附件,,
spirax sarco design boiler video,锅炉及附件,,
tanques de alimentacion para calderas spirax sarco,锅炉及附件,,
video calderas spirax sarco,锅炉及附件,,
video de calderas spirax sarco,锅炉及附件,,
condenspot spirax sarco,疏水阀,,
spirax sarco condenspot,疏水阀,,
balde invertido spirax sarco,疏水阀,,
spirax sarco thermodynamische condenspot,疏水阀,,
deaerator spirax sarco,除氧器,,
spirax sarco deaerator,除氧器,category,斯派莎克 除氧器
deaerator principle spirax sarco,除氧器,,
spirax sarco deaerator head,除氧器,,
acumulador de vapor spirax sarco,蒸汽蓄热器,,
acumuladores de vapor spirax sarco,蒸汽蓄热器,,
atemperadores spirax sarco,减温器,,
attuatore pneumatico spirax sarco,执行器,,
attuatore pneumatico spirax sarco pn,执行器,,
attuatore spinatrol spirax sarco,执行器,,
attuatore spirax sarco spinatrol,执行器,,
atuadores spirax sarco,执行器,,
barilotto d168 di separazione spirax sarco,汽水分离器,,
barilotto spirax sarco,汽水分离器,,
bomba de consensados spirax sarco,冷凝水泵,,
bomba de.condrnsado spirax sarco,冷凝水泵,,
caudalimetro vapor spirax sarco,流量计,,
contador de vapor spirax sarco,流量计,,
purgas de calderas spirax sarco,排污阀,,
spirax sarco boiler blowdown,排污阀,,
spirax sarco boiler blowdown calculation,排污阀,,
spirax sarco csm c,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
csm e spirax sarco,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
spirax sarco csm c 600,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
spirax sarco csm e,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
spirax sarco csm-c,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
spirax sarco csm-k,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
spirax sarco csmc,洁净蒸汽发生器,,CSM-C/CSM-E/CSM-K -> 洁净蒸汽发生器 (batch-38; 官网 CSM clean steam generator)
ptc spirax sarco,机械泵,product,PTC -> 机械泵 (batch-38; 官网 Pivotrol PTC Pressure Powered Pump)
spirax sarco ptc,机械泵,,PTC -> 机械泵 (batch-38; 官网 Pivotrol PTC Pressure Powered Pump)
ptc spirax sarco imi,机械泵,,PTC -> 机械泵 (batch-38; 官网 Pivotrol PTC Pressure Powered Pump)
bombas con ptc spirax sarco,机械泵,,PTC -> 机械泵 (batch-38; 官网 Pivotrol PTC Pressure Powered Pump)
spirax sarco bva 325,执行器,,BVA300/BVA325 -> 执行器 (batch-38; 官网 BVA300 pneumatic actuator)
bva 300 spirax sarco,执行器,,BVA300/BVA325 -> 执行器 (batch-38; 官网 BVA300 pneumatic actuator)
bva 325 spirax sarco,执行器,,BVA300/BVA325 -> 执行器 (batch-38; 官网 BVA300 pneumatic actuator)
spirax sarco bva,执行器,,BVA300/BVA325 -> 执行器 (batch-38; 官网 BVA300 pneumatic actuator)
fig 33 spirax sarco,过滤器,product,Fig33/stoomfilter -> 过滤器 (batch-38; 本地型号表/多语言语义)
spirax sarco fig 33,过滤器,product,Fig33/stoomfilter -> 过滤器 (batch-38; 本地型号表/多语言语义)
spirax sarco stoomfilter,过滤器,,Fig33/stoomfilter -> 过滤器 (batch-38; 本地型号表/多语言语义)
spirax sarco ft,疏水阀,product,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
ftb 175 spirax sarco,疏水阀,product,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
spirax sarco ftb 175,疏水阀,product,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
spirax sarco fti 15,疏水阀,product,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
spirax sarco rta 125,疏水阀,product,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
ftb spirax sarco,疏水阀,,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
fti 200 spirax sarco,疏水阀,,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
rta 125 spirax sarco,疏水阀,,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
rta-spirax sarco rta 1 2,疏水阀,,FT/FTB/FTI/RTA -> 疏水阀 (batch-38; 本地型号表/官网语义)
spirax sarco 25 series,减压阀,category,25 series/25P item no. -> 减压阀 (batch-38; 官网 25P Pilot Operated Pressure Regulators)
spirax sarco 25 series pressure,减压阀,,25 series/25P item no. -> 减压阀 (batch-38; 官网 25P Pilot Operated Pressure Regulators)
spirax sarco 55224,减压阀,product,25 series/25P item no. -> 减压阀 (batch-38; 官网 25P Pilot Operated Pressure Regulators)
spirax sarco 55227,减压阀,product,25 series/25P item no. -> 减压阀 (batch-38; 官网 25P Pilot Operated Pressure Regulators)
spirax sarco 59607,减压阀,product,25 series/25P item no. -> 减压阀 (batch-38; 官网 25P Pilot Operated Pressure Regulators)
spirax sarco humidifiers,空气加湿器,category,humidifiers -> 空气加湿器 (batch-38; 官网/本地加湿器产品语义)
spirax sarco vs 206,排空气阀,product,VS206 -> 排空气阀 (batch-38; 既有官网确认 VS206 vent head / air vent)
spirax sarco boilers,锅炉及附件,,boilers -> 锅炉及附件 (batch-38; 产品族语义)
apt spirax sarco,冷凝水泵,category,APT -> 冷凝水泵 (batch-38; APT automatic pump trap / condensate pump)
spirax sarco apt,冷凝水泵,category,APT -> 冷凝水泵 (batch-38; APT automatic pump trap / condensate pump)
spirax sarco bva 310 s8,执行器,,修正：BVA 系列为球阀气动执行器，归入执行器 (batch-38)
13 w spirax sarco,自动排空气阀,,13W/13WS -> 自动排空气阀 (batch-39; 既有进度表确认 air vent / air eliminator)
spirax sarco 13 whs,自动排空气阀,,13W/13WS -> 自动排空气阀 (batch-39; 既有进度表确认 air vent / air eliminator)
spirax sarco 13 whs precio,自动排空气阀,,13W/13WS -> 自动排空气阀 (batch-39; 既有进度表确认 air vent / air eliminator)
spirax sarco 13 ws,自动排空气阀,,13W/13WS -> 自动排空气阀 (batch-39; 既有进度表确认 air vent / air eliminator)
25 pag spirax sarco,减压阀,,25PAG -> 减压阀 (batch-39; 既有官网确认 pilot operated pressure regulator)
air eliminators spirax sarco,排空气阀,,air eliminators -> 排空气阀 (batch-39; 产品语义)
apt 8 spirax sarco,冷凝水泵,,APT/condensaatpomp -> 冷凝水泵 (batch-39; APT automatic pump trap / condensate pump)
apt-spi spirax sarco,冷凝水泵,,APT/condensaatpomp -> 冷凝水泵 (batch-39; APT automatic pump trap / condensate pump)
condensaatpomp spirax sarco,冷凝水泵,,APT/condensaatpomp -> 冷凝水泵 (batch-39; APT automatic pump trap / condensate pump)
auctuaores neumaticos spirax sarco,执行器,,actuadores/neumaticos typo -> 执行器 (batch-39; 多语言语义)
bombas de agua spirax sarco,泵通用,,bombas/pumps -> 泵通用 (batch-39; 多语言语义)
bombas spirax sarco,泵通用,,bombas/pumps -> 泵通用 (batch-39; 多语言语义)
bombas verticales spirax sarco cloacales,泵通用,,bombas/pumps -> 泵通用 (batch-39; 多语言语义)
bp 13 spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
bp 22 spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
bp 25 spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
bp 30 spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
bp 99 spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
bpt spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
bpt13sx spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
menbrana bp 99 spirax sarco,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
spirax sarco bp 99 32,疏水阀,,BP/BPT -> 疏水阀 (batch-39; 本地型号表/已有 BPT 归类)
ccd spirax sarco,监测器,,CCD/condensate contamination detection -> 监测器 (batch-39; 系统监测语义)
condensate contamination detection system spirax sarco,监测器,,CCD/condensate contamination detection -> 监测器 (batch-39; 系统监测语义)
check spirax sarco,止回阀,,check/cheque -> 止回阀 (batch-39; 多语言语义)
cheque inox spirax sarco,止回阀,,check/cheque -> 止回阀 (batch-39; 多语言语义)
compensatori di dilatazione spirax sarco,垫片与膨胀接头,,compensatori di dilatazione -> 垫片与膨胀接头 (batch-39; 多语言语义)
condensate tank spirax sarco,冷凝水回收装置,,condensate tank -> 冷凝水回收装置 (batch-39; 冷凝水罐/回收语义)
spirax sarco condensate tank,冷凝水回收装置,,condensate tank -> 冷凝水回收装置 (batch-39; 冷凝水罐/回收语义)
caudalimetro ultrasonico spirax sarco,流量计,,caudalimetro ultrasonico -> 流量计 (batch-39; 多语言语义)
casse vide spirax sarco,破真空器,,casse vide -> 破真空器 (batch-39; 法语语义)
calentador agua spirax sarco,换热器系统,,calentador/central agua quente -> 换热器系统 (batch-39; 热水系统语义)
central agua quente spirax sarco,换热器系统,,calentador/central agua quente -> 换热器系统 (batch-39; 热水系统语义)
abv 40 spirax sarco,排污阀,,ABV21i/ABV40i boiler blowdown valve (batch-40)
abv spirax sarco,排污阀,,ABV21i/ABV40i boiler blowdown valve (batch-40)
analisador vazamento spirax sarco,监测器,,monitoring/analyzer (batch-40)
analizador de condensados spirax sarco,监测器,,monitoring/analyzer (batch-40)
boletin spirax sarco compensadores de dilatacion termica,垫片与膨胀接头,,expansion joint (batch-40)
cabezal mezclador spirax sarco,喷射加热系统,,steam/water mixing station (batch-40)
calderas_de_vapor-spirax-sarco_parte 1,锅炉及附件,,boiler/feedwater accessories (batch-40)
camara sensor spirax sarco,液位感应器,,level probe/sensor chamber (batch-40)
camara sensora s11 spirax sarco,液位感应器,,level probe/sensor chamber (batch-40)
camara sensora spirax sarco,液位感应器,,level probe/sensor chamber (batch-40)
camara sensora st-141 spirax sarco,液位感应器,,level probe/sensor chamber (batch-40)
charola spirax sarco modelo dpe,排水盘弯头,,drip pan elbow / DPE (batch-40)
charola spirax sarco modelo dpe 1 1 4,排水盘弯头,,drip pan elbow / DPE (batch-40)
charola spirax sarco modelo dpe 2,排水盘弯头,,drip pan elbow / DPE (batch-40)
ci-125 spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
colector de vapor spirax sarco,蒸汽集管,,steam manifold/header (batch-40)
coletor de vapor spirax sarco,蒸汽集管,,steam manifold/header (batch-40)
como es su funcionamiento del contador de ciclos spirax sarco,监测器,,monitoring/analyzer (batch-40)
contador de ciclos spirax sarco,监测器,,monitoring/analyzer (batch-40)
cru spirax sarco,冷凝水回收装置,,condensate return/recovery unit (batch-40)
csf spirax sarco,过滤器,,filter/strainer semantics; CI-125 official search (batch-40)
